arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_advstd,delta_standard_lower_bound,delta_standard_upper_bound,delta_advstd_lower_bound,delta_advstd_upper_bound,delta_error,mip_start,branch_priorities,lp_basis,bound_tightening,var_hint,zono_bounds,n1_probe,relax_threshold,relax_mode,sibling_gate,elim_org,elim_pert,relaxed_org,relaxed_pert,sibgate_both_thin,sibgate_one_thin_org_dropped,sibgate_one_thin_pert_dropped,seed,how_much_faster,lp_optimization_time,time_advstd_with_lp,how_much_faster_with_lp,gap_standard,gap_advstd,solve_status_standard,solve_status_advstd,standard_file,advstd_file,geom
3x50,linf,0.1,0,1,3616.22,10823.11,8.633748,19.372875,11.057808,18.681285,-0.691590,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,,0.00,10823.11,2.99x,10.739127,7.623477,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63915660189165_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_zonoBounds_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,3613.64,8.633748,19.372875,11.329045,18.982695,-0.390179,no,off,no,yes,prev_pgd,no,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,,0.00,3613.64,1.00x,10.739127,7.653650,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914466048251_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,3615.88,8.633748,19.372875,11.195642,18.930426,-0.442449,no,off,no,yes,prev_pgd,yes,off,0.25,btpr,yes,elim not activated,elim not activated,10,7,11,0,0,4,,0.00,3615.88,1.00x,10.739127,7.734784,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914499068411_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.25_SibGate_zonoBounds_varHintPrevPGD_seed4_both11_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,3620.12,8.633748,19.372875,10.844029,18.888250,-0.484625,no,off,no,yes,prev_pgd,no,off,0.5,btpr,yes,elim not activated,elim not activated,9,9,9,0,0,4,,0.00,3620.12,1.00x,10.739127,8.044221,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914496230201_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_SibGate_varHintPrevPGD_seed4_both9_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,10822.91,8.633748,19.372875,10.418228,18.524628,-0.848247,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,yes,elim not activated,elim not activated,12,9,13,0,0,4,,0.00,10822.91,2.99x,10.739127,8.106399,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63915665125200_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_SibGate_zonoBounds_varHintPrevPGD_seed4_both13_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,10816.45,8.633748,19.372875,10.418228,18.563526,-0.809349,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,yes,elim not activated,elim not activated,12,9,13,0,0,4,,0.00,10816.45,2.99x,10.739127,8.145297,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63915818905235_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_SibGate_zonoBounds_varHintPrevPGD_seed4_both13_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,3621.67,8.633748,19.372875,10.726663,18.896080,-0.476795,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,yes,elim not activated,elim not activated,12,9,13,0,0,4,,0.00,3621.67,1.00x,10.739127,8.169417,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914499182109_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_SibGate_zonoBounds_varHintPrevPGD_seed4_both13_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,3614.03,8.633748,19.372875,10.481127,18.983034,-0.389841,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,yes,elim not activated,elim not activated,0,0,0,0,0,4,,0.00,3614.03,1.00x,10.739127,8.501906,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914499062753_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.0_SibGate_zonoBounds_varHintPrevPGD_seed4_both0_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,3613.88,8.633748,19.372875,10.484228,19.028348,-0.344527,no,off,no,yes,prev_pgd,no,off,0.25,btpr,yes,elim not activated,elim not activated,7,7,7,0,0,4,,0.00,3613.88,1.00x,10.739127,8.544120,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63914466129272_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.25_SibGate_varHintPrevPGD_seed4_both7_orgDrop0_pertDrop0_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
3x50,linf,0.1,0,1,3616.22,3616.75,8.633748,19.372875,10.497817,19.084809,-0.288065,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,no,elim not activated,elim not activated,12,9,,,,4,,0.00,3616.75,1.00x,10.739127,8.586993,TIME_LIMIT,TIME_LIMIT,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/vagharWithPerturbed_3x50_19_sgd_itr1/63912754931977_3x50_linf_0.1_ctag0__HyperAttackHints_VagharDeps_PertruebedIntervals_cTag1.txt,/root/Downloads/for_dana/vaghar_org/paper_experiments/mnist/3x50_exp/linf/eps_0.1/advStd_3x50_N1_19/63912840440599_n2_3x50_linf_0.1_ctag0_19_sgd_itr1_N2_advStd_BoundTightPertRelax0.5_zonoBounds_varHintPrevPGD_seed4_HyperAttackHints_VagharDeps_PerturbedIntervals_cTag1.txt,no
